사고월	합계	01일	02일	03일	04일	05일	06일	07일	08일	09일	10일	11일	12일	13일	14일	15일	16일	17일	18일	19일	20일	21일	22일	23일	24일	25일	26일	27일	28일	29일	30일	31일
합계	216,335	7,132	6,873	6,920	6,660	6,573	6,832	6,858	6,982	6,749	7,054	7,236	6,752	7,102	7,378	7,155	7,127	7,244	7,233	6,997	7,424	7,353	7,569	7,520	7,503	7,351	7,382	7,224	7,130	6,667	6,250	4,105
01월	16,970	427	507	579	543	549	591	560	429	467	551	567	556	620	583	476	680	581	614	558	562	526	447	681	726	776	812	466	340	358	374	464
02월	14,832	474	499	551	502	396	507	497	523	536	583	567	432	554	588	546	573	613	570	440	520	482	588	549	593	581	437	555	576	-	-	-
03월	17,047	511	527	616	544	436	558	552	507	556	612	564	444	527	542	602	554	613	586	473	554	554	571	581	631	586	431	522	535	549	568	641
04월	17,717	572	463	590	513	694	606	627	645	460	613	634	601	556	577	631	522	581	595	648	527	624	625	530	615	536	635	640	688	677	492	-
05월	18,502	579	609	553	630	554	556	442	626	555	513	596	611	620	496	622	596	612	647	718	632	531	641	628	629	621	728	681	515	596	584	581
06월	18,047	598	661	656	498	647	553	569	569	607	615	520	569	607	662	646	633	663	486	647	629	567	636	694	598	446	605	612	587	586	681	-
07월	18,158	605	489	607	565	606	553	664	590	464	585	609	629	574	614	605	506	608	536	597	599	648	647	459	576	631	660	639	657	608	441	587
08월	18,682	570	553	624	655	616	463	592	576	658	665	706	575	453	705	522	588	600	601	575	513	642	628	626	642	696	682	471	635	629	577	644
09월	19,891	770	667	498	584	584	650	603	704	659	533	657	585	668	723	712	632	525	724	599	739	702	754	732	543	675	701	706	753	849	660	-
10월	18,863	581	682	417	379	390	432	507	420	445	589	597	619	699	644	487	587	654	613	657	784	751	577	701	698	731	638	781	771	544	741	747
11월	19,377	715	581	753	637	521	628	642	693	675	722	698	561	642	664	672	627	729	687	504	701	640	693	646	786	674	479	602	562	596	647	-
12월	18,249	730	635	476	610	580	735	603	700	667	473	521	570	582	580	634	629	465	574	581	664	686	762	693	466	398	574	549	511	675	485	441